MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093G071933,53.48129,-123.2556,PJog,"chert, siliceous argillite, siliciclastic rocks",320.0,9.300000191,95.5,0.12,0.42,10.2,30.0,52.14,5.8,70.0,683.0,2.63,42.7,6.37,0.46,2.9,1.5,49.0,0.06,0.5,0.1,0.7,60.0,-0.1,133.7,11.0,19500.00048,6700.0,30299.999999999996,1300.0,4700.0,530.0,2190.0,6200.0,120.0
ID093G071935,53.49183,-123.50162,PJog,lower amphibolite/kyanite grade metamorphic rocks,200.0,8.699999809,48.5,0.06,1.11,11.2,104.0,56.25,3.7,60.0,145.0,5.23,52.3,4.46,2.16,4.1,6.6,57.5,0.04,0.6,0.08,4.7,88.0,-0.1,120.1,6.5,10199.99981,19000.0,20000.0,600.0,5100.0,460.0,780.0,10800.0,650.0
ID093G071936,53.51696,-123.58454,ETOo,dacitic volcanic rocks,300.0,6.599999905,189.0,0.1,0.38,16.3,41.0,52.73,5.4,45.0,350.0,3.41,50.2,6.08,0.44,2.5,0.9,39.5,0.06,0.3,0.1,0.6,88.0,-0.1,118.9,8.0,17599.9999,6100.0,26200.0,1500.0,5100.0,470.0,1380.0000000000002,2600.0,260.0
ID093G071937,53.49318,-123.5855,MTrCc,basaltic volcanic rocks,200.0,4.0,141.5,0.1,0.42,15.4,60.5,40.03,6.8,45.0,253.0,3.02,48.7,6.81,0.4,7.0,0.9,39.5,0.06,1.0,0.1,0.7,88.0,-0.1,134.1,10.0,20699.999330000002,10200.0,25099.999999999996,1500.0,6899.999999999999,550.0,740.0,3600.0,810.0
ID093G071938,53.49168,-123.59757,MTrCc,basaltic volcanic rocks,140.0,2.700000048,129.0,0.04,0.25,4.2,19.5,21.67,2.3,60.0,171.0,4.61,19.2,4.24,0.26,0.9,0.5,31.5,0.02,0.2,0.04,0.2,28.0,-0.1,123.5,3.0,7900.00021,5800.0,5900.0,600.0,1900.0,340.0,1240.0,2400.0,130.0
ID093G071939,53.48492,-123.60682,MTrCc,basaltic volcanic rocks,240.0,3.200000048,35.5,0.02,0.15,4.2,17.0,23.7,1.1,45.0,142.0,4.47,34.7,2.41,0.32,0.9,0.9,41.0,0.02,0.2,-0.02,1.5,42.0,-0.1,29.7,2.5,3100.00002,15100.0,3700.0,200.0,2100.0,300.0,680.0,5400.0,200.0
ID093G071940,53.48507,-123.59517,MTrCc,basaltic volcanic rocks,180.0,3.5,48.5,0.04,0.3,8.1,32.0,33.67,1.9,65.0,154.0,5.49,48.1,3.24,0.5,2.0,1.3,41.5,0.04,0.3,0.06,1.0,50.0,-0.1,115.0,4.0,5500.000120000001,15200.0,8400.0,400.0,3200.0,410.0,850.0000000000001,7600.0,350.00000000000006
ID093G071942,53.47604,-123.55414,MTrCc,basaltic volcanic rocks,60.0,6.199999809,22.0,-0.02,0.35,2.7,87.5,10.54,0.5,65.0,136.0,3.78,13.9,2.97,0.46,0.5,4.5,54.0,-0.02,0.1,0.02,1.3,30.0,-0.1,24.0,1.0,1299.9999500000001,29600.0,4000.0,200.0,2800.0000000000005,340.0,750.0,8200.0,80.0
ID093G071944,53.48579,-123.45821,PJog,lower amphibolite/kyanite grade metamorphic rocks,140.0,19.79999924,31.0,0.02,0.38,7.3,39.5,54.88,1.6,90.0,69.0,11.81,109.3,2.17,2.2,1.6,5.6,82.5,0.04,0.3,0.08,7.1,60.0,-0.1,52.7,3.5,5099.9999,18800.0,11299.999999999998,400.0,3300.0,370.0,580.0,13600.000000000002,240.0
ID093G071945,53.48579,-123.45821,PJog,lower amphibolite/kyanite grade metamorphic rocks,160.0,22.60000038,29.0,-0.02,0.35,6.7,41.0,55.39,1.6,80.0,72.0,13.95,103.2,3.0,2.34,1.9,6.1,78.5,0.06,0.3,0.08,7.6,56.0,-0.1,49.0,3.5,4900.0001,19000.0,12200.0,300.0,3100.0,360.0,590.0,14000.0,240.0
ID093G071946,53.48276,-123.44432,PJog,lower amphibolite/kyanite grade metamorphic rocks,200.0,24.10000038,42.0,0.04,0.39,7.9,64.5,58.52,2.8,115.0,186.0,7.19,106.8,2.87,1.06,3.3,6.0,115.5,0.06,0.5,0.1,2.5,62.0,-0.1,52.7,6.0,8899.99986,31400.0,23200.0,500.0,4100.0,330.0,1070.0,10200.0,320.0
ID093G071947,53.4259,-123.36591,MTrCc,"chert, siliceous argillite, siliciclastic rocks",160.0,35.0,24.0,-0.02,0.42,4.3,114.5,44.02,1.0,75.0,98.0,8.03,84.5,2.16,1.96,1.2,8.6,49.5,0.02,0.2,0.04,6.1,76.0,-0.1,42.8,2.0,3400.0000400000004,17800.0,15400.0,300.0,2100.0,330.0,1050.0,15600.0,110.0
ID093G071948,53.43267,-123.20172,MTrCc,"chert, siliceous argillite, siliciclastic rocks",100.0,18.5,107.5,0.04,0.23,4.6,26.0,19.09,2.1,45.0,230.0,5.56,20.7,3.5,0.32,2.3,2.6,209.0,0.06,0.4,0.08,2.3,30.0,-0.1,35.2,4.0,6000.000239999999,97300.0,14500.0,600.0,3000.0,380.0,620.0,7600.0,200.0
ID093G071949,53.45608,-123.15244,MTrCc,"chert, siliceous argillite, siliciclastic rocks",300.0,4.599999905,158.0,0.1,1.01,9.4,40.5,41.97,5.8,75.0,248.0,4.46,29.9,7.74,0.42,4.9,1.0,51.0,0.06,0.6,0.1,1.7,72.0,-0.1,186.5,9.5,15700.00052,8600.0,17900.0,1400.0000000000002,4700.0,460.0,900.0,2400.0,730.0
ID093G071950,53.48159,-123.06981,MTrCc,basaltic volcanic rocks,280.0,2.900000095,145.0,0.06,0.53,5.9,26.5,40.87,2.3,125.0,325.0,3.12,48.4,3.28,0.54,1.8,1.7,75.0,0.06,0.4,0.1,0.6,22.0,-0.1,143.6,4.5,8500.00024,12100.0,9300.0,400.0,2500.0,330.0,9800.0,4400.0,140.0
ID093G071951,53.47911,-123.04419,MTrCc,basaltic volcanic rocks,980.0,7.300000191,231.5,0.14,0.83,19.2,77.0,77.6,9.4,380.0,588.0,4.16,115.0,5.76,0.92,4.7,2.6,75.0,0.08,0.7,0.2,0.9,86.0,-0.1,209.3,18.5,35699.99933,10900.0,37500.0,1200.0,5400.0,360.0,2640.0,4800.0,240.0
ID093G071952,53.49309,-122.98854,uTrJNc,volcaniclastic rocks,960.0,5.900000095,39.0,0.06,0.95,11.1,69.0,59.14,2.4,295.0,204.0,3.53,126.7,4.68,1.32,3.3,3.3,100.5,0.06,0.6,0.1,1.3,30.0,-0.1,119.7,5.5,9800.00019,16200.000000000002,17100.0,500.0,5500.0,330.0,810.0,10600.0,160.0
ID093G071953,53.65504,-123.13873,MTrCc,mudstone/laminite fine clastic sedimentary rocks,280.0,7.0,32.5,0.12,0.35,11.9,31.0,41.07,5.8,85.0,596.0,6.42,35.2,8.73,0.46,5.1,2.4,84.5,0.08,0.9,0.1,1.8,60.0,-0.1,93.5,9.0,16799.999480000002,24400.0,31900.0,1200.0,6400.0,500.0,1140.0,16800.0,330.0
ID093G071954,53.6522,-123.18622,MTrCc,basaltic volcanic rocks,40.0,4.400000095,79.0,-0.02,0.14,0.8,3.0,4.81,0.2,20.0,269.0,5.76,4.5,1.15,0.2,0.5,0.6,331.5,0.06,0.1,-0.02,0.5,6.0,-0.1,29.3,-0.5,599.99999,100000.0,3300.0,200.0,2600.0,360.0,340.0,7000.0,20.0
ID093G071955,53.64745,-123.19455,MTrCc,basaltic volcanic rocks,180.0,4.800000191,23.0,0.04,0.5,6.0,20.0,35.37,1.5,100.0,1316.0,8.47,40.4,3.21,0.7,1.3,3.6,86.5,0.06,0.3,0.06,2.0,26.0,-0.1,69.2,3.0,4399.99998,22300.0,11900.0,300.0,2700.0,360.0,1030.0,18000.0,150.0
ID093G071956,53.65388,-123.20942,MTrCc,basaltic volcanic rocks,340.0,5.0,17.0,0.08,0.54,10.9,27.0,47.88,2.5,145.0,553.0,6.91,61.9,4.27,0.58,2.4,3.2,68.0,0.06,0.6,0.08,1.4,34.0,-0.1,127.4,5.5,7500.0,16500.0,21700.0,500.0,3000.0,360.0,930.0,20600.0,180.0
ID093G071957,53.66205,-123.242,MTrCc,basaltic volcanic rocks,140.0,10.10000038,116.5,0.04,0.22,8.7,44.5,24.56,1.5,50.0,2294.0,4.88,103.1,3.51,0.38,2.0,1.1,46.0,0.02,0.4,0.06,0.4,28.0,-0.1,69.0,4.0,4000.0000600000003,9600.0,40599.99999999999,300.0,3500.0,330.0,4140.0,5200.0,130.0
ID093G071958,53.66525,-123.28196,MTrCc,basaltic volcanic rocks,380.0,4.300000191,145.5,0.08,0.64,8.6,52.0,35.08,3.9,140.0,330.0,2.98,60.4,3.65,0.54,1.1,1.8,43.5,0.04,0.2,0.22,0.5,52.0,-0.1,292.4,13.0,16599.99967,5100.0,20500.0,400.0,1700.0000000000002,370.0,2440.0,4400.0,90.0
ID093G071959,53.59837,-123.36607,MTrCc,serpentinite ultramafic rocks,220.0,5.199999809,137.5,0.08,0.33,31.7,195.5,28.32,6.2,205.0,395.0,0.71,809.3,5.23,0.28,10.4,1.1,35.0,0.04,1.5,0.14,0.7,56.0,-0.1,82.9,14.5,20999.99905,4500.0,36600.0,900.0,25000.0,490.0,730.0,1800.0,560.0
ID093G071960,53.60156,-123.40363,CTrus,serpentinite ultramafic rocks,380.0,5.800000191,129.5,0.06,0.48,12.9,124.5,47.51,5.5,250.0,182.0,1.14,624.5,4.47,0.6,7.5,1.8,34.0,0.04,1.0,0.12,1.1,52.0,-0.1,95.6,17.5,19099.99967,5300.0,20099.999999999996,800.0,12200.0,410.0,750.0,3200.0,380.0
ID093G071962,53.59647,-123.4576,CTrus,serpentinite ultramafic rocks,240.0,26.0,23.0,0.08,0.5,18.0,85.5,40.43,4.3,85.0,694.0,12.44,352.3,5.9,0.54,5.6,2.3,53.5,0.06,1.5,0.14,8.4,68.0,-0.1,76.7,11.0,10900.000329999999,9400.0,28400.0,1000.0,8100.000000000001,709.9999999999999,1070.0,15400.0,750.0
ID093G071963,53.60823,-123.48849,PJml,lower amphibolite/kyanite grade metamorphic rocks,120.0,12.10000038,132.5,0.06,0.24,6.8,53.5,23.67,2.3,75.0,2634.0,2.91,149.8,5.64,0.5,2.9,1.1,26.0,0.02,0.7,0.06,1.3,46.0,-0.1,40.9,6.0,5699.99993,4900.0,22799.999999999996,500.0,3700.0,450.0,3410.0000000000005,4200.0,290.0
ID093G071964,53.62881,-123.53312,PJml,lower amphibolite/kyanite grade metamorphic rocks,140.0,8.5,109.0,0.08,0.23,9.3,52.5,21.25,4.0,60.0,446.0,3.09,100.0,4.94,0.28,4.2,1.2,53.0,0.04,1.5,0.1,2.7,46.0,-0.1,53.8,10.0,10299.99971,10100.0,20299.999999999996,800.0,4900.0,590.0,859.9999999999999,3600.0,720.0
ID093G071965,53.63995,-123.49743,PJog,basaltic volcanic rocks,180.0,19.39999962,31.5,0.06,0.38,12.3,76.0,35.31,3.4,115.0,792.0,12.82,326.8,5.34,0.54,4.2,1.8,47.5,0.06,1.1,0.1,5.3,62.0,-0.1,57.0,9.5,9200.00017,9500.0,21800.0,700.0000000000001,7700.0,509.99999999999994,1060.0,10200.0,450.0
ID093G071966,53.65685,-123.51352,PJog,basaltic volcanic rocks,200.0,15.89999962,37.5,0.06,0.39,17.0,99.5,36.16,3.6,100.0,618.0,10.85,419.9,4.51,0.44,5.0,1.7,48.0,0.06,1.1,0.12,4.9,54.0,-0.1,61.8,10.0,10599.99943,9700.0,22000.0,700.0000000000001,12600.0,550.0,970.0,9000.0,470.0
ID093G071967,53.67628,-123.5156,PJog,basaltic volcanic rocks,60.0,4.300000191,37.5,-0.02,0.07,1.8,16.0,10.6,0.6,40.0,161.0,4.35,169.2,1.8,0.39,0.7,0.7,40.0,-0.02,0.2,-0.02,2.0,20.0,-0.1,6.4,2.5,1800.0000699999998,8300.0,3800.0,200.0,1800.0,320.0,660.0,4400.0,60.0
ID093G071968,53.67628,-123.5156,PJog,basaltic volcanic rocks,60.0,4.400000095,39.5,-0.02,0.08,1.9,18.5,13.34,0.7,40.0,166.0,4.41,173.4,2.28,0.4,0.7,0.7,41.0,0.02,0.2,-0.02,2.0,20.0,-0.1,8.5,2.5,1899.99998,8500.0,3900.0,200.0,1900.0,350.00000000000006,670.0,4600.0,60.0
ID093G071969,53.661,-123.53604,PJog,basaltic volcanic rocks,320.0,9.199999809,25.0,0.1,0.34,9.2,57.0,62.22,3.8,140.0,412.0,10.66,65.5,4.14,0.48,6.1,3.4,60.5,0.06,1.5,0.18,6.6,70.0,-0.1,71.8,11.0,11399.99986,13000.0,24200.0,800.0,3800.0,520.0,1030.0,17000.0,440.0
ID093G071970,53.65991,-123.55682,PJml,lower amphibolite/kyanite grade metamorphic rocks,300.0,3.0,48.5,0.1,0.44,8.0,39.0,65.22,3.5,175.0,131.0,9.05,57.6,3.43,0.38,5.0,2.7,65.0,0.06,1.1,0.16,5.7,42.0,-0.1,71.9,10.0,12200.00029,15400.0,13100.0,800.0,3300.0,380.0,760.0,7800.0,330.0
ID093G071971,53.64312,-123.52647,PJml,lower amphibolite/kyanite grade metamorphic rocks,80.0,3.900000095,58.0,-0.02,0.24,2.2,9.5,11.32,0.6,35.0,482.0,4.41,13.9,2.24,0.42,0.7,1.1,91.0,0.04,0.3,0.02,3.2,20.0,-0.1,43.4,1.5,1599.99996,37000.0,4300.0,200.0,1700.0000000000002,320.0,890.0,6200.0,80.0
ID093G071972,53.63827,-123.54799,PJml,lower amphibolite/kyanite grade metamorphic rocks,100.0,9.0,15.5,0.04,0.36,3.4,81.0,23.23,0.8,65.0,78.0,12.85,20.7,1.23,0.8,9.4,6.5,71.0,0.06,4.2,0.11,13.1,50.0,0.2,53.6,2.5,2800.00001,23800.0,11800.0,300.0,2000.0,350.00000000000006,1050.0,18800.0,110.0
ID093G071973,53.62059,-123.561,PJml,lower amphibolite/kyanite grade metamorphic rocks,280.0,2.099999905,135.0,0.06,0.27,4.5,26.5,27.83,2.7,85.0,290.0,2.0,30.8,1.5,0.52,6.3,1.2,62.0,0.04,22.0,0.16,2.2,28.0,-0.1,57.2,7.5,10199.99981,14600.0,13899.999999999998,400.0,2200.0,290.0,1019.9999999999999,4200.0,180.0
ID093G071974,53.65683,-123.62489,ETgd,granodioritic intrusive rocks,280.0,3.5,210.0,0.1,0.2,6.6,39.5,32.5,4.1,105.0,976.0,6.24,45.4,1.23,0.42,7.0,1.3,34.5,0.04,16.2,0.2,3.4,42.0,-0.1,82.5,14.5,14500.000479999999,4800.0,32400.000000000004,500.0,1800.0,340.0,3500.0,3600.0,260.0
ID093G071976,53.66451,-123.68973,ETgd,granodioritic intrusive rocks,300.0,2.200000048,96.0,0.14,0.34,5.9,44.5,23.28,4.1,50.0,189.0,2.88,29.2,2.06,0.5,4.1,1.2,47.0,0.02,5.8,0.12,6.9,40.0,-0.1,63.4,17.5,13600.00014,6700.0,11299.999999999998,600.0,2200.0,410.0,840.0,2600.0,340.0
ID093G071977,53.6632,-123.79014,PJml,lower amphibolite/kyanite grade metamorphic rocks,260.0,1.5,108.0,0.06,0.46,7.9,42.5,30.9,3.1,90.0,126.0,2.55,34.0,1.91,0.54,1.8,0.9,32.5,0.02,4.2,0.1,0.6,44.0,-0.1,107.9,10.5,15800.00043,4300.0,8600.0,400.0,1700.0000000000002,390.0,2320.0,3400.0000000000005,160.0
ID093G071978,53.65019,-123.78552,ETOo,dacitic volcanic rocks,60.0,4.199999809,40.5,0.02,0.22,4.6,31.5,13.68,1.4,60.0,132.0,2.31,21.9,0.14,0.34,2.4,0.7,37.0,0.02,4.2,0.08,9.9,24.0,-0.1,47.8,6.0,6399.99986,7700.0,7600.0,200.0,1500.0,330.0,600.0,3000.0,190.0
ID093G071979,53.64084,-123.72064,ETOo,dacitic volcanic rocks,640.0,26.39999962,51.0,0.04,0.33,8.2,85.0,20.26,1.6,95.0,231.0,4.87,35.3,1.36,0.88,4.9,2.4,39.5,0.04,9.0,0.08,9.8,100.0,-0.1,88.3,5.0,5199.99981,11900.0,37500.0,200.0,2000.0,360.0,900.0,6000.0,300.0
ID093G071980,53.6236,-123.67493,PJml,lower amphibolite/kyanite grade metamorphic rocks,200.0,7.400000095,52.0,0.06,0.29,4.9,63.0,24.44,2.6,125.0,88.0,4.21,36.4,0.24,0.44,4.3,1.9,58.5,0.04,4.4,0.08,14.9,36.0,-0.1,45.7,11.5,9800.00019,13799.999999999998,10700.0,300.0,2200.0,340.0,640.0,3600.0,330.0
ID093G071982,53.61272,-123.65713,ETgd,granodioritic intrusive rocks,160.0,11.80000019,79.0,0.06,0.2,9.7,79.0,29.58,3.2,80.0,315.0,4.05,46.6,1.55,0.5,5.3,1.2,49.5,0.04,4.8,0.08,6.9,70.0,-0.1,68.3,10.0,9800.00019,10800.0,27900.0,400.0,3300.0,600.0,1060.0,4400.0,550.0
ID093G071983,53.61272,-123.65713,ETgd,granodioritic intrusive rocks,160.0,11.60000038,78.5,0.06,0.21,9.6,85.5,30.93,3.2,90.0,314.0,4.12,46.2,1.61,0.5,5.2,1.2,51.0,0.04,4.3,0.08,6.5,70.0,-0.1,68.9,10.0,10000.0,10700.0,27900.0,500.0,3300.0,630.0,1080.0,4600.0,550.0
ID093G071984,53.59738,-123.62357,ETgd,granodioritic intrusive rocks,240.0,1.5,149.0,0.04,0.3,6.2,45.5,41.22,3.9,95.0,110.0,2.18,46.3,1.23,0.5,1.6,1.0,51.0,0.02,1.7,0.08,0.9,32.0,-0.1,100.4,10.0,15900.000329999999,6200.0,9600.0,400.0,2100.0,380.0,1670.0,2800.0000000000005,170.0
ID093G071985,53.58214,-123.59634,PJml,lower amphibolite/kyanite grade metamorphic rocks,160.0,2.5,83.0,0.1,0.24,5.9,34.5,25.56,2.6,55.0,444.0,2.68,30.1,0.36,0.38,3.1,0.9,32.5,0.02,2.8,0.08,3.3,42.0,-0.1,51.3,7.0,8600.00014,8000.0,14700.0,500.0,2600.0,509.99999999999994,1140.0,4800.0,350.00000000000006
ID093G071986,53.59569,-123.51592,PJml,lower amphibolite/kyanite grade metamorphic rocks,740.0,11.69999981,105.5,0.1,1.45,11.3,45.0,39.28,5.0,75.0,233.0,3.88,44.7,4.07,0.9,5.6,1.8,51.0,0.04,4.0,0.1,2.0,58.0,-0.1,134.4,12.0,17500.0,17200.0,21300.0,900.0,3700.0,410.0,930.0,5400.0,410.0
ID093G071987,53.5752,-123.5106,PJml,lower amphibolite/kyanite grade metamorphic rocks,260.0,11.19999981,9.0,0.04,0.38,6.2,41.0,28.61,2.4,55.0,222.0,13.35,35.5,1.17,0.62,4.1,5.8,38.5,0.02,3.3,0.1,9.5,36.0,-0.1,60.1,5.0,8700.00005,16299.999999999998,19400.0,400.0,2900.0,370.0,740.0,20800.0,300.0
ID093G071988,53.55219,-123.51048,PJml,lower amphibolite/kyanite grade metamorphic rocks,80.0,5.199999809,50.0,0.02,0.17,3.2,15.0,15.22,1.1,35.0,348.0,2.55,14.7,1.56,0.34,2.3,0.9,25.5,-0.02,3.1,0.06,0.5,16.0,-0.1,91.5,2.0,3600.0001399999996,10300.0,43300.0,300.0,1900.0,380.0,940.0,4400.0,150.0
ID093G071989,53.57414,-123.46963,PJml,lower amphibolite/kyanite grade metamorphic rocks,220.0,13.0,9.5,0.06,0.38,9.3,57.5,31.35,2.5,65.0,187.0,7.75,39.6,1.6,0.6,3.4,3.8,53.0,0.04,2.7,0.1,4.6,46.0,-0.1,80.4,5.0,8600.00014,17600.0,23200.0,400.0,2900.0,410.0,900.0,18000.0,380.0
ID093G071990,53.57919,-123.45903,PJml,lower amphibolite/kyanite grade metamorphic rocks,60.0,2.0,26.0,-0.02,0.07,0.6,7.0,7.54,0.4,30.0,36.0,4.36,8.6,5.742047493403704,0.34,0.4,0.3,85.5,-0.02,0.4,-0.02,3.7,12.0,-0.1,34.8,0.5,2099.99993,30200.0,2700.0,100.0,1900.0,280.0,500.0,5500.0,30.0
ID093G071991,53.57239,-123.38413,MTrCc,serpentinite ultramafic rocks,100.0,4.199999809,103.0,0.06,0.2,7.3,52.5,18.11,3.5,50.0,512.0,2.05,78.8,2.53,0.4,4.0,0.6,60.5,0.04,2.5,0.06,3.2,32.0,-0.1,59.4,8.0,10499.999520000001,12500.0,14300.0,600.0,4000.0,440.0,850.0000000000001,3400.0000000000005,570.0
ID093G071992,53.56734,-123.31247,MTrCc,serpentinite ultramafic rocks,200.0,1.399999976,118.5,0.06,0.73,6.1,82.0,31.46,3.2,75.0,180.0,4.54,77.9,1.53,0.52,1.4,0.7,33.0,-0.02,1.2,0.06,0.6,38.0,-0.1,167.1,8.0,10000.0,5200.0,7000.0,400.0,2500.0,310.0,880.0,2200.0,190.0
ID093G071993,53.38364,-123.25625,MTrCc,"chert, siliceous argillite, siliciclastic rocks",100.0,3.0,107.0,0.06,0.5,6.2,64.5,19.64,5.6,40.0,209.0,1.13,26.4,3.94,0.36,6.2,0.6,52.5,0.04,3.2,0.06,1.1,46.0,-0.1,113.4,9.5,17000.00048,10100.0,23500.0,1100.0,4700.0,570.0,890.0,1000.0,709.9999999999999
ID093G071994,53.41152,-123.40815,MTrCc,"chert, siliceous argillite, siliciclastic rocks",420.0,4.800000191,165.5,0.1,1.38,10.2,108.5,57.0,8.5,200.0,196.0,2.34,140.5,5.83,0.9,9.4,1.0,42.5,0.04,2.9,0.16,0.9,56.0,-0.1,167.1,12.0,31199.99886,8900.0,24800.0,1100.0,7700.0,370.0,859.9999999999999,2400.0,640.0
ID093G071995,53.38451,-123.42948,Pzum,ultramafic rocks,200.0,8.100000381,81.0,0.04,0.6,6.7,57.5,46.38,3.8,150.0,146.0,2.26,107.8,0.75,0.82,5.4,1.3,47.0,0.02,2.1,0.12,0.8,30.0,-0.1,77.9,9.0,14900.0001,12400.0,11900.0,500.0,4900.0,360.0,640.0,3600.0,300.0
ID093G071996,53.38567,-123.34416,MTrCc,"chert, siliceous argillite, siliciclastic rocks",180.0,1.700000048,142.0,0.06,0.56,5.3,81.5,25.14,6.5,80.0,192.0,1.67,51.0,2.94,0.38,2.4,0.4,29.0,0.02,1.1,0.08,0.4,34.0,-0.1,118.2,6.5,21400.00105,3600.0,11600.0,900.0,2100.0,370.0,1000.0,1200.0,320.0
ID093G071997,53.38979,-123.32965,MTrCc,"chert, siliceous argillite, siliciclastic rocks",180.0,4.199999809,80.0,0.02,0.86,3.9,49.5,24.27,2.0,110.0,180.0,1.32,76.3,0.54,0.52,1.9,1.1,70.0,0.02,1.3,0.06,1.7,22.0,-0.1,45.8,7.0,6600.00026,14100.0,7500.0,300.0,3500.0,330.0,880.0,2400.0,180.0
ID093G071998,53.37596,-123.32428,MTrCc,"chert, siliceous argillite, siliciclastic rocks",100.0,1.799999952,133.5,0.08,0.2,4.7,77.5,24.06,4.5,50.0,148.0,1.29,38.7,2.49,0.5,2.2,0.4,28.0,0.02,1.1,0.08,0.4,44.0,-0.1,71.1,9.5,14500.000479999999,3300.0,11299.999999999998,1000.0,2700.0,390.0,730.0,1000.0,370.0
ID093G072000,53.36881,-123.32069,MTrCc,"chert, siliceous argillite, siliciclastic rocks",360.0,6.300000191,171.5,0.14,0.85,13.0,128.5,48.94,9.0,175.0,308.0,2.42,197.4,4.05,0.82,9.8,1.0,44.0,0.06,4.0,0.16,0.7,70.0,-0.1,122.7,13.0,31700.00076,7600.0,35400.0,1400.0000000000002,9800.0,420.0,9900.0,2600.0,690.0000000000001
ID093G073002,53.36241,-123.35297,MTrCc,"chert, siliceous argillite, siliciclastic rocks",220.0,3.799999952,94.0,0.06,0.67,11.2,165.0,44.1,4.5,145.0,228.0,1.89,241.3,1.78,0.8,6.8,1.4,38.5,0.02,2.7,0.12,0.7,48.0,-0.1,76.8,11.0,17100.00038,8300.0,19900.0,600.0,8700.0,380.0,650.0,2600.0,380.0
ID093G073003,53.36241,-123.35297,MTrCc,"chert, siliceous argillite, siliciclastic rocks",220.0,3.5,96.5,0.06,0.62,11.7,163.5,40.66,4.9,140.0,236.0,1.45,236.8,2.01,0.77,7.4,1.3,38.0,0.04,2.6,0.12,0.6,48.0,-0.1,74.8,11.0,17899.99962,7900.0,21000.0,600.0,9100.0,380.0,630.0,2400.0,410.0
ID093G073004,53.36361,-123.31938,MTrCc,"chert, siliceous argillite, siliciclastic rocks",160.0,2.299999952,155.5,0.1,0.24,6.6,79.0,26.03,9.5,75.0,145.0,0.57,60.9,3.96,0.44,7.1,0.5,38.0,0.02,1.7,0.12,0.7,52.0,-0.1,95.5,15.0,32000.000480000002,4400.0,23000.0,1000.0,4200.0,470.0,709.9999999999999,1000.0,820.0
ID093G073005,53.34289,-123.23466,MTrCc,"chert, siliceous argillite, siliciclastic rocks",100.0,22.20000076,24.5,0.06,0.46,7.5,26.5,19.53,1.7,45.0,113.0,15.09,21.3,1.65,1.6,3.0,3.5,144.0,0.04,1.9,0.08,15.9,102.0,-0.1,85.7,4.5,4600.00008,93300.0,13300.0,400.0,2500.0,370.0,690.0000000000001,13200.0,260.0
ID093G073006,53.3323,-123.07055,MTrCc,"chert, siliceous argillite, siliciclastic rocks",10.0,100.4000015,19.5,-0.02,0.21,6.8,32.0,11.39,0.7,25.0,1044.0,4.09,15.2,5.742047493403704,0.96,2.3,4.2,47.5,-0.02,2.2,0.06,2.0,68.0,-0.1,46.1,1.5,1700.0000200000002,20299.999999999996,55800.0,200.0,800.0,270.0,8159.999999999999,8200.0,130.0
ID093G073007,53.35264,-123.09648,MTrCc,"chert, siliceous argillite, siliciclastic rocks",80.0,16.29999924,91.0,0.04,0.3,15.3,19.5,10.12,1.6,25.0,1262.0,3.75,17.9,0.85,0.3,2.9,0.7,45.0,0.02,3.5,0.06,0.4,32.0,-0.1,147.4,3.5,4499.99988,14900.0,76000.0,400.0,2000.0,350.00000000000006,1950.0,3200.0,210.0
ID093G073008,53.37658,-122.96244,MTrCc,basaltic volcanic rocks,380.0,3.0,12.5,0.08,1.25,5.6,31.0,42.82,1.9,90.0,292.0,3.46,49.8,2.23,0.62,2.0,4.9,62.5,0.06,1.7,0.08,2.0,18.0,-0.1,87.1,5.5,6499.999760000001,16200.000000000002,13400.0,600.0,3000.0,300.0,580.0,18000.0,140.0
ID093G073009,53.39663,-122.96109,MTrCc,basaltic volcanic rocks,460.0,2.599999905,39.0,0.04,0.88,3.1,22.0,33.47,2.0,200.0,113.0,2.5,41.2,1.42,0.58,1.3,1.3,95.0,0.04,1.0,0.08,1.5,16.0,-0.1,38.6,8.5,7599.9999,16700.0,6800.000000000001,300.0,2300.0,270.0,920.0,6000.0,80.0
ID093G073010,53.4204,-123.02271,MTrCc,basaltic volcanic rocks,480.0,5.199999809,22.5,0.08,0.96,10.1,73.0,79.6,3.7,355.0,249.0,5.39,116.0,3.9,0.98,5.6,3.9,65.5,0.06,2.6,0.1,5.5,38.0,-0.1,109.8,10.5,14099.999670000001,12800.0,19700.0,700.0000000000001,4500.0,350.00000000000006,1170.0,10600.0,260.0
