,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
1864,ID093O072443,55.14124,-123.70144,TrJTk,86.9,96.07
1172,ID093J073531,54.13381,-123.0852,TrJTk,190.6,161.06
657,ID093J071404,54.92381,-123.74131,KTpg,23.5,45.03
598,ID093J071275,54.85891,-123.80133,TrJTk,89.7,116.18
1259,ID093J073627,54.19774,-122.85532,CPSm,39.0,76.14
890,ID093J071746,54.41875,-123.74635,TrJTk,119.3,124.72
706,ID093J071540,54.51919,-123.78728,TrJTk,84.8,61.91
163,ID093G073036,53.22522,-122.65429,uTrJNc,56.7,82.98
1842,ID093O072411,55.06552,-123.96022,TrJTk,51.0,65.09
1625,ID093J075092,54.8914,-123.06628,TrJTk,83.6,58.97
591,ID093J071267,54.78973,-123.85623,ETOo,95.1,97.51
456,ID093H073190,53.85112,-121.9762,CPSm,89.8,61.0
863,ID093J071716,54.35674,-123.67689,TrJTk,96.9,110.7
1666,ID093J075138,54.8097,-122.95139,CPSm,78.3,98.75
1863,ID093O072442,55.14124,-123.70144,TrJTk,87.3,101.46
126,ID093G071994,53.41152,-123.40815,MTrCc,167.1,137.33
980,ID093J071849,54.18219,-123.39203,LTQCh,244.0,195.73
304,ID093G073213,53.67892,-123.12345,MTrCc,207.5,168.99
626,ID093J071369,54.60055,-123.7878,TrJTk,156.9,152.42
520,ID093J071110,54.78168,-123.65964,KTpg,73.0,80.24
946,ID093J071808,54.45926,-123.55901,TrJTk,117.8,125.06
1645,ID093J075115,54.92688,-123.08035,TrJTk,75.0,78.52
721,ID093J071556,54.56135,-123.62432,TrJTk,182.6,168.48
20,ID093G071024,53.55684,-122.84874,TrJTk,234.0,196.1
329,ID093G073240,53.75719,-123.50097,MTrCc,87.0,77.23
1477,ID093J073870,54.63957,-122.75391,KTpg,101.8,98.08
62,ID093G071924,53.47831,-123.29468,PJog,163.5,150.13
445,ID093H073159,53.73109,-121.9412,CPSm,66.9,97.08
529,ID093J071120,54.85357,-123.58371,KTpg,105.4,94.67
718,ID093J071553,54.54422,-123.66498,TrJTk,148.9,149.2
157,ID093G073030,53.293,-122.70929,uTrJNc,75.2,94.69
1949,ID093O075037,55.0231,-123.06715,CmOKe,82.2,61.63
1067,ID093J073404,54.04331,-123.0939,TrJTk,70.0,81.9
