,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
1338,ID093J073716,54.27729,-122.76416,TrJTk,46.06,42.53
1631,ID093J075099,54.7914,-123.10403,TrJTk,49.19,46.26
1385,ID093J073769,54.51953,-122.9361,TrJTk,106.2,93.97
1451,ID093J073842,54.56869,-122.5151,CmOs,28.79,37.2
1496,ID093J073892,54.59275,-122.9796,TrJTk,36.73,43.35
1713,ID093N071150,55.01538,-124.12409,TrJTk,144.0,57.63
1932,ID093O075005,55.05337,-123.21375,TrJTk,50.61,58.35
1593,ID093J075056,54.87322,-123.20469,TrJTk,34.24,39.35
552,ID093J071223,54.96156,-123.88235,TrJTk,86.18,72.72
757,ID093J071597,54.58702,-123.46036,KTpg,51.46,50.37
560,ID093J071232,54.89245,-123.89305,TrJTk,49.98,50.5
1685,ID093J075159,54.73787,-123.06646,KTpg,51.22,61.73
1147,ID093J073503,54.05056,-123.01972,TrJTk,38.71,40.37
1574,ID093J075022,54.98179,-123.22954,TrJTk,50.18,53.97
1051,ID093J073378,54.13264,-123.32751,TrJTk,35.64,37.62
1291,ID093J073664,54.52681,-123.44418,KTmc,61.12,57.68
32,ID093G071037,53.63855,-122.87955,LTQCh,36.83,49.8
1704,ID093K071362,54.44646,-124.09545,TrJTk,43.66,40.75
478,ID093J071064,54.231,-123.68282,MTrCc,47.27,44.59
175,ID093G073050,53.30732,-122.66417,uTrJNc,37.7,39.67
1852,ID093O072430,55.23275,-123.8572,TrJTk,11.64,19.23
1173,ID093J073532,54.11926,-123.03846,TrJTk,22.21,28.76
1021,ID093J073337,54.00077,-123.82195,MTrCc,11.72,13.3
1924,ID093O073977,55.00364,-123.29317,TrJTk,63.57,66.05
1175,ID093J073534,54.16304,-123.15694,TrJTk,36.6,38.23
323,ID093G073234,53.72179,-123.61655,MTrCc,17.62,18.63
227,ID093G073107,53.6977,-122.51563,TrJTk,47.09,45.54
417,ID093G073344,53.9945,-123.64502,MTrCc,36.05,32.48
1673,ID093J075146,54.88472,-122.98875,TrJTk,91.83,81.15
819,ID093J071668,54.27974,-123.73838,MTrCc,55.95,50.11
267,ID093G073156,53.60443,-122.02523,TrJTk,41.71,61.26
721,ID093J071556,54.56135,-123.62432,TrJTk,88.93,76.68
